A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
62.0,61.0,male,3,free,little,moderate,1953.0,36,0.0
63.0,25.0,male,2,own,little,moderate,14421.0,48,0.0
64.0,26.0,female,2,own,little,Missing,3181.0,24,0.0
65.0,48.0,male,2,own,Missing,Missing,5190.0,27,0.0
66.0,29.0,female,2,own,little,Missing,2171.0,12,0.0
67.0,22.0,male,2,own,rich,moderate,1007.0,12,0.0
68.0,37.0,male,2,free,little,Missing,1819.0,36,0.0
69.0,25.0,female,2,own,Missing,Missing,2394.0,36,0.0
70.0,30.0,female,2,own,little,Missing,8133.0,36,0.0
71.0,46.0,male,1,rent,Missing,Missing,730.0,7,0.0
72.0,51.0,male,3,free,little,little,1164.0,8,0.0
73.0,41.0,female,1,own,little,moderate,5954.0,42,0.0
74.0,40.0,male,3,own,Missing,little,1977.0,36,0.0
75.0,66.0,male,3,free,little,little,1526.0,12,0.0
76.0,34.0,male,2,own,little,little,3965.0,42,0.0
77.0,51.0,male,2,own,little,moderate,4771.0,11,0.0
78.0,39.0,male,1,own,Missing,Missing,9436.0,54,0.0
79.0,22.0,male,2,own,little,moderate,3832.0,30,0.0
80.0,44.0,female,2,own,Missing,Missing,5943.0,24,0.0
81.0,47.0,male,2,own,quite rich,Missing,1213.0,15,0.0
82.0,24.0,female,1,rent,moderate,Missing,1568.0,18,0.0
83.0,58.0,female,1,own,little,little,1755.0,24,0.0
84.0,52.0,male,1,own,little,little,2315.0,10,0.0
85.0,29.0,female,3,own,little,Missing,1412.0,12,0.0
86.0,27.0,female,2,own,little,moderate,1295.0,18,0.0
87.0,47.0,male,2,free,moderate,moderate,12612.0,36,0.0
88.0,30.0,male,3,own,moderate,little,2249.0,18,0.0
89.0,28.0,male,2,own,little,little,1108.0,12,0.0
90.0,56.0,male,2,own,little,Missing,618.0,12,0.0
91.0,54.0,male,2,own,little,little,1409.0,12,0.0
92.0,33.0,female,1,own,Missing,Missing,797.0,12,0.0
93.0,20.0,male,2,rent,Missing,rich,3617.0,24,0.0
94.0,54.0,male,2,own,rich,moderate,1318.0,12,0.0
95.0,58.0,male,2,rent,little,moderate,15945.0,54,0.0
96.0,61.0,female,2,own,Missing,Missing,2012.0,12,0.0
97.0,34.0,male,2,own,moderate,moderate,2622.0,18,0.0
98.0,36.0,male,2,own,little,moderate,2337.0,36,0.0
99.0,36.0,male,3,rent,Missing,moderate,7057.0,20,0.0
100.0,41.0,male,1,rent,moderate,Missing,1469.0,24,0.0
101.0,24.0,male,2,rent,little,moderate,2323.0,36,0.0
102.0,24.0,female,2,own,little,Missing,932.0,6,0.0
103.0,35.0,male,2,rent,little,moderate,1919.0,9,0.0
104.0,26.0,male,2,rent,Missing,Missing,2445.0,12,0.0
105.0,39.0,male,3,own,little,moderate,11938.0,24,0.0
106.0,39.0,male,3,own,little,Missing,6458.0,18,0.0
107.0,32.0,male,2,own,little,moderate,6078.0,12,0.0
108.0,30.0,female,2,own,Missing,little,7721.0,24,0.0
109.0,35.0,male,2,own,quite rich,moderate,1410.0,14,0.0
110.0,31.0,male,2,own,moderate,moderate,1449.0,6,0.0
111.0,23.0,female,2,rent,little,rich,392.0,15,0.0
112.0,28.0,male,1,rent,little,moderate,6260.0,18,0.0
113.0,25.0,female,2,own,little,Missing,7855.0,36,0.0
114.0,35.0,male,2,own,quite rich,little,1680.0,12,0.0
115.0,47.0,male,2,own,Missing,Missing,3578.0,48,0.0
116.0,30.0,female,3,own,Missing,little,7174.0,42,0.0
117.0,27.0,female,2,rent,Missing,little,2132.0,10,0.0
118.0,23.0,female,2,own,quite rich,little,4281.0,33,0.0
119.0,36.0,male,3,own,quite rich,moderate,2366.0,12,0.0
120.0,25.0,female,2,own,little,little,1835.0,21,0.0
121.0,41.0,female,3,rent,little,Missing,3868.0,24,0.0
122.0,24.0,male,1,rent,little,Missing,1768.0,12,0.0
123.0,63.0,male,2,free,little,rich,781.0,10,0.0
124.0,27.0,female,2,rent,Missing,moderate,1924.0,18,0.0
125.0,30.0,male,2,own,little,little,2121.0,12,0.0
126.0,40.0,male,1,own,little,little,701.0,12,0.0
127.0,30.0,male,2,own,little,moderate,639.0,12,0.0
128.0,34.0,male,3,own,little,moderate,1860.0,12,0.0
129.0,29.0,female,2,own,little,little,3499.0,12,0.0
130.0,24.0,female,2,own,Missing,moderate,8487.0,48,0.0
131.0,29.0,male,2,own,little,little,6887.0,36,0.0
132.0,27.0,male,1,own,little,Missing,2708.0,15,0.0
133.0,47.0,male,2,free,little,Missing,1984.0,18,0.0
134.0,21.0,female,2,own,moderate,Missing,10144.0,60,0.0
135.0,38.0,female,2,own,Missing,Missing,1240.0,12,0.0
136.0,27.0,male,2,own,rich,Missing,8613.0,27,0.0
137.0,66.0,male,1,own,quite rich,moderate,766.0,12,0.0
138.0,35.0,male,2,own,Missing,moderate,2728.0,15,0.0
139.0,44.0,female,1,rent,little,rich,1881.0,12,0.0
140.0,27.0,male,0,own,rich,rich,709.0,6,0.0
141.0,30.0,female,3,own,little,moderate,4795.0,36,0.0
142.0,27.0,male,3,own,little,little,3416.0,27,0.0
143.0,22.0,male,2,own,little,little,2462.0,18,0.0
144.0,23.0,female,2,own,little,Missing,2288.0,21,0.0
145.0,30.0,male,2,own,moderate,moderate,3566.0,48,0.0
146.0,39.0,female,2,own,little,little,860.0,6,0.0
147.0,51.0,female,2,own,moderate,Missing,682.0,12,0.0
148.0,28.0,male,2,own,little,little,5371.0,36,0.0
149.0,46.0,male,2,own,rich,Missing,1582.0,18,0.0
150.0,42.0,male,2,free,moderate,Missing,1346.0,6,0.0
151.0,38.0,male,2,own,little,Missing,1924.0,10,0.0
152.0,24.0,male,2,own,little,rich,5848.0,36,0.0
153.0,29.0,female,2,rent,rich,moderate,7758.0,24,0.0
154.0,36.0,male,3,rent,moderate,moderate,6967.0,24,0.0
155.0,20.0,female,2,rent,little,little,1282.0,12,0.0
156.0,48.0,male,2,own,moderate,little,1288.0,9,0.0
157.0,45.0,male,1,own,little,little,339.0,12,0.0
158.0,38.0,male,2,own,moderate,moderate,3512.0,24,0.0
159.0,34.0,male,1,own,Missing,Missing,1898.0,6,0.0
160.0,36.0,male,2,own,moderate,Missing,2872.0,24,0.0
161.0,30.0,female,2,own,little,Missing,1055.0,18,0.0
162.0,36.0,male,2,own,quite rich,Missing,1262.0,15,0.0
163.0,70.0,male,3,free,little,moderate,7308.0,10,0.0
164.0,36.0,male,2,own,quite rich,Missing,909.0,36,0.0
165.0,32.0,male,2,own,quite rich,Missing,2978.0,6,0.0
166.0,33.0,female,2,own,little,little,1131.0,18,0.0
167.0,20.0,female,2,own,rich,moderate,1577.0,11,0.0
168.0,25.0,female,2,rent,little,Missing,3972.0,24,0.0
169.0,31.0,male,2,own,little,moderate,1935.0,24,0.0
170.0,33.0,male,2,rent,little,little,950.0,15,0.0
171.0,26.0,female,2,own,little,Missing,763.0,12,0.0
172.0,34.0,female,3,own,little,moderate,2064.0,24,0.0
173.0,33.0,male,2,own,little,moderate,1414.0,8,0.0
174.0,26.0,male,2,own,little,little,3414.0,21,0.0
175.0,53.0,female,3,own,Missing,Missing,7485.0,30,0.0
176.0,42.0,male,2,own,little,little,2577.0,12,0.0
177.0,52.0,male,2,own,quite rich,little,338.0,6,0.0
178.0,31.0,male,3,rent,little,Missing,1963.0,12,0.0
179.0,65.0,male,2,own,little,little,571.0,21,0.0
180.0,28.0,male,2,own,little,Missing,9572.0,36,0.0
181.0,30.0,male,3,own,little,moderate,4455.0,36,0.0
182.0,40.0,male,1,own,Missing,little,1647.0,21,0.0
183.0,50.0,male,2,own,rich,Missing,3777.0,24,0.0
184.0,36.0,male,2,own,little,moderate,884.0,18,0.0
185.0,31.0,male,2,own,little,Missing,1360.0,15,0.0
186.0,74.0,female,3,free,little,moderate,5129.0,9,0.0
187.0,68.0,male,0,free,little,moderate,1175.0,16,0.0
188.0,20.0,male,2,own,moderate,little,674.0,12,0.0
189.0,33.0,female,2,own,little,moderate,3244.0,18,0.0
190.0,54.0,male,3,own,rich,Missing,4591.0,24,0.0
191.0,34.0,male,1,free,moderate,moderate,3844.0,48,0.0
192.0,36.0,male,2,own,little,moderate,3915.0,27,0.0
193.0,29.0,male,2,rent,little,Missing,2108.0,6,0.0
194.0,21.0,male,2,rent,moderate,moderate,3031.0,45,0.0
195.0,34.0,female,3,own,little,moderate,1501.0,9,0.0
196.0,28.0,female,2,own,little,Missing,1382.0,6,0.0
197.0,27.0,female,2,rent,moderate,moderate,951.0,12,0.0
198.0,36.0,male,2,free,Missing,moderate,2760.0,24,0.0
199.0,40.0,male,3,own,little,moderate,4297.0,18,0.0
200.0,52.0,male,2,own,quite rich,Missing,936.0,9,0.0
201.0,27.0,male,1,own,little,little,1168.0,12,0.0
202.0,26.0,male,2,own,little,Missing,5117.0,27,0.0
203.0,21.0,male,2,rent,little,little,902.0,12,0.0
204.0,38.0,male,1,own,little,Missing,1495.0,12,0.0
205.0,38.0,male,3,free,little,little,10623.0,30,0.0
206.0,43.0,male,2,own,little,Missing,1935.0,12,0.0
207.0,26.0,male,2,own,little,moderate,1424.0,12,0.0
208.0,21.0,male,1,own,little,little,6568.0,24,0.0
209.0,55.0,male,2,own,rich,Missing,1413.0,12,0.0
210.0,33.0,male,2,own,Missing,Missing,3074.0,9,0.0
211.0,45.0,female,1,own,Missing,Missing,3835.0,36,0.0
212.0,50.0,male,2,own,little,little,5293.0,27,0.0
213.0,66.0,male,3,own,little,rich,1908.0,30,0.0
214.0,51.0,male,2,own,Missing,Missing,3342.0,36,0.0
215.0,39.0,female,1,own,Missing,moderate,932.0,6,0.0
216.0,31.0,male,2,own,little,little,3104.0,18,0.0
217.0,23.0,male,2,own,little,rich,3913.0,36,0.0
218.0,24.0,male,1,rent,little,little,3021.0,24,0.0
219.0,64.0,female,2,own,little,Missing,1364.0,10,0.0
220.0,26.0,male,1,own,little,moderate,625.0,12,0.0
221.0,23.0,female,2,rent,Missing,little,1200.0,12,0.0
222.0,30.0,male,2,own,little,Missing,707.0,12,0.0
223.0,32.0,male,2,own,Missing,Missing,2978.0,24,0.0
224.0,30.0,male,2,own,little,Missing,4657.0,15,0.0
225.0,27.0,male,2,own,little,Missing,2613.0,36,0.0
226.0,27.0,male,2,own,rich,moderate,10961.0,48,0.0
227.0,53.0,male,3,free,little,little,7865.0,12,0.0
228.0,22.0,male,2,own,little,Missing,1478.0,9,0.0
229.0,22.0,male,2,free,little,little,3149.0,24,0.0
230.0,26.0,male,2,own,little,rich,4210.0,36,0.0
231.0,51.0,male,1,free,quite rich,Missing,2507.0,9,0.0
232.0,35.0,male,2,own,moderate,Missing,2141.0,12,0.0
233.0,25.0,male,1,own,little,moderate,866.0,18,0.0
234.0,42.0,male,1,own,little,Missing,1544.0,4,0.0
235.0,30.0,male,3,own,little,little,1823.0,24,0.0
236.0,23.0,male,0,own,Missing,moderate,14555.0,6,0.0
237.0,61.0,male,1,rent,moderate,moderate,2767.0,21,0.0
238.0,35.0,female,2,own,little,Missing,1291.0,12,0.0
239.0,39.0,male,2,own,little,little,2522.0,30,0.0
240.0,29.0,female,2,own,Missing,little,915.0,24,0.0
241.0,51.0,male,2,own,little,Missing,1595.0,6,0.0
242.0,24.0,male,2,free,little,little,4605.0,48,0.0
243.0,27.0,female,2,own,little,Missing,1185.0,12,0.0
244.0,35.0,female,1,own,quite rich,Missing,3447.0,12,0.0
245.0,25.0,male,2,own,little,Missing,1258.0,24,0.0
246.0,52.0,male,2,own,little,Missing,717.0,12,0.0
247.0,35.0,male,2,rent,moderate,Missing,1204.0,6,0.0
248.0,26.0,male,2,own,little,rich,1925.0,24,0.0
249.0,22.0,female,2,rent,little,Missing,433.0,18,0.0
250.0,39.0,female,1,own,rich,little,666.0,6,0.0
251.0,46.0,female,1,own,little,rich,2251.0,12,0.0
252.0,24.0,female,2,own,little,moderate,2150.0,30,0.0
253.0,35.0,male,2,own,moderate,Missing,4151.0,24,0.0
254.0,24.0,male,2,own,Missing,moderate,2030.0,9,0.0
255.0,27.0,male,1,own,Missing,moderate,7418.0,60,0.0
256.0,35.0,male,1,own,little,Missing,2684.0,24,0.0
257.0,29.0,male,2,free,little,little,2149.0,12,0.0
258.0,23.0,female,2,own,moderate,Missing,3812.0,15,0.0
259.0,57.0,female,1,own,moderate,Missing,1154.0,11,0.0
260.0,27.0,male,2,own,little,little,1657.0,12,0.0
261.0,55.0,female,2,own,little,little,1603.0,24,0.0
262.0,36.0,male,3,free,little,little,5302.0,18,0.0
263.0,57.0,female,1,free,little,Missing,2748.0,12,0.0
264.0,32.0,male,1,own,little,Missing,1231.0,10,0.0
265.0,37.0,male,2,own,little,moderate,802.0,15,0.0
266.0,36.0,male,2,own,Missing,Missing,6304.0,36,0.0
267.0,38.0,female,2,own,little,Missing,1533.0,24,0.0
268.0,45.0,male,3,own,little,little,8978.0,14,0.0
269.0,25.0,male,2,own,Missing,Missing,999.0,24,0.0
270.0,32.0,male,2,own,Missing,Missing,2662.0,18,0.0
271.0,37.0,female,2,rent,quite rich,Missing,1402.0,12,0.0
272.0,36.0,male,3,free,Missing,moderate,12169.0,48,0.0
273.0,28.0,male,2,own,little,moderate,3060.0,48,0.0
274.0,34.0,male,1,own,little,little,11998.0,30,0.0
275.0,32.0,male,2,own,little,Missing,2697.0,9,0.0
276.0,26.0,female,2,own,little,Missing,2404.0,18,0.0
277.0,49.0,male,1,own,Missing,little,1262.0,12,0.0
278.0,32.0,female,2,own,little,Missing,4611.0,6,0.0
279.0,29.0,male,3,rent,moderate,Missing,1901.0,24,0.0
280.0,23.0,male,2,rent,rich,Missing,3368.0,15,0.0
281.0,50.0,male,2,own,little,Missing,1574.0,12,0.0
282.0,49.0,male,1,own,Missing,rich,1445.0,18,0.0
283.0,63.0,male,2,own,Missing,Missing,1520.0,15,0.0
284.0,37.0,male,2,own,moderate,moderate,3878.0,24,0.0
285.0,35.0,female,1,own,little,little,10722.0,47,0.0
286.0,26.0,male,2,own,little,little,4788.0,48,0.0
287.0,31.0,male,3,free,moderate,moderate,7582.0,48,0.0
288.0,49.0,female,2,own,little,moderate,1092.0,12,0.0
289.0,48.0,male,2,own,little,little,1024.0,24,0.0
290.0,26.0,male,2,own,little,Missing,1076.0,12,0.0
291.0,28.0,male,3,rent,little,moderate,9398.0,36,0.0
292.0,44.0,female,3,free,little,little,6419.0,24,0.0
293.0,56.0,male,2,free,little,rich,4796.0,42,0.0
294.0,46.0,male,3,own,Missing,Missing,7629.0,48,0.0
295.0,26.0,female,2,own,little,moderate,9960.0,48,0.0
296.0,20.0,female,2,rent,Missing,Missing,4675.0,12,0.0
297.0,45.0,male,1,own,Missing,Missing,1287.0,10,0.0
298.0,43.0,male,2,own,little,Missing,2515.0,18,0.0
299.0,32.0,male,2,own,rich,moderate,2745.0,21,0.0
300.0,54.0,female,0,own,little,Missing,672.0,6,0.0
301.0,42.0,female,2,own,little,moderate,3804.0,36,0.0
302.0,37.0,male,1,own,Missing,rich,1344.0,24,0.0
303.0,49.0,male,2,own,little,little,1038.0,10,0.0
304.0,44.0,male,2,free,quite rich,Missing,10127.0,48,0.0
305.0,33.0,male,2,own,rich,Missing,1543.0,6,0.0
306.0,24.0,female,1,rent,Missing,Missing,4811.0,30,0.0
307.0,33.0,male,1,own,moderate,little,727.0,12,0.0
308.0,24.0,female,2,own,little,moderate,1237.0,8,0.0
309.0,22.0,male,1,rent,little,moderate,276.0,9,0.0
310.0,40.0,male,0,free,Missing,moderate,5381.0,48,0.0
311.0,25.0,male,2,own,moderate,Missing,5511.0,24,0.0
312.0,26.0,female,2,own,little,rich,3749.0,24,0.0
313.0,25.0,male,1,own,little,moderate,685.0,12,0.0
314.0,29.0,male,1,own,Missing,rich,1494.0,4,0.0
315.0,31.0,male,2,own,little,little,2746.0,36,0.0
316.0,38.0,male,1,own,little,little,708.0,12,0.0
317.0,48.0,female,1,own,Missing,moderate,4351.0,24,0.0
318.0,32.0,male,2,own,little,Missing,701.0,12,0.0
319.0,27.0,female,1,own,little,little,3643.0,15,0.0
320.0,28.0,male,3,own,little,moderate,4249.0,30,0.0
321.0,32.0,male,2,own,little,little,1938.0,24,0.0
322.0,34.0,male,3,free,little,little,2910.0,24,0.0
323.0,28.0,male,2,own,rich,little,2659.0,18,0.0
324.0,36.0,female,2,own,little,Missing,1028.0,18,0.0
325.0,39.0,male,1,own,little,little,3398.0,8,0.0
326.0,49.0,male,2,rent,Missing,Missing,5801.0,12,0.0
327.0,34.0,female,2,own,rich,Missing,1525.0,24,0.0
328.0,31.0,male,2,own,little,rich,4473.0,36,0.0
329.0,28.0,male,2,own,little,moderate,1068.0,6,0.0
330.0,75.0,male,3,free,little,little,6615.0,24,0.0
331.0,30.0,female,2,own,moderate,Missing,1864.0,18,0.0
332.0,24.0,female,3,own,moderate,moderate,7408.0,60,0.0
333.0,24.0,female,1,rent,moderate,Missing,11590.0,48,0.0
334.0,23.0,male,2,rent,little,little,4110.0,24,0.0
335.0,44.0,male,3,rent,little,little,3384.0,6,0.0
336.0,23.0,female,1,own,little,moderate,2101.0,13,0.0
337.0,24.0,female,2,rent,Missing,little,1275.0,15,0.0
338.0,28.0,male,2,own,little,little,4169.0,24,0.0
339.0,31.0,male,1,own,little,moderate,1521.0,10,0.0
340.0,24.0,female,2,free,little,moderate,5743.0,24,0.0
341.0,26.0,female,1,rent,little,little,3599.0,21,0.0
342.0,25.0,male,2,rent,quite rich,moderate,3213.0,18,0.0
343.0,33.0,male,3,own,little,moderate,4439.0,18,0.0
344.0,37.0,male,1,own,little,rich,3949.0,10,0.0
345.0,43.0,female,1,own,little,Missing,1459.0,15,0.0
346.0,23.0,male,2,own,little,moderate,882.0,13,0.0
347.0,23.0,female,0,rent,quite rich,moderate,3758.0,24,0.0
348.0,34.0,male,1,own,moderate,Missing,1743.0,6,0.0
349.0,32.0,male,2,free,rich,moderate,1136.0,9,0.0
350.0,23.0,female,2,rent,little,Missing,1236.0,9,0.0
351.0,29.0,female,2,own,little,moderate,959.0,9,0.0
352.0,38.0,male,3,own,Missing,Missing,3229.0,18,0.0
353.0,28.0,male,2,rent,little,little,6199.0,12,0.0
354.0,46.0,male,2,free,quite rich,Missing,727.0,10,0.0
355.0,23.0,male,1,own,little,moderate,1246.0,24,0.0
356.0,49.0,male,2,own,Missing,Missing,2331.0,12,0.0
357.0,26.0,male,3,own,little,Missing,4463.0,36,0.0
358.0,28.0,male,2,own,little,Missing,776.0,12,0.0
359.0,23.0,female,2,rent,little,little,2406.0,30,0.0
360.0,61.0,male,2,free,Missing,moderate,1239.0,18,0.0
361.0,37.0,male,3,own,Missing,rich,3399.0,12,0.0
362.0,36.0,female,2,own,little,rich,2247.0,12,0.0
363.0,21.0,male,2,rent,little,Missing,1766.0,6,0.0
364.0,25.0,male,0,own,little,little,2473.0,18,0.0
365.0,36.0,male,2,own,little,Missing,1542.0,12,0.0
366.0,27.0,male,2,own,little,Missing,3850.0,18,0.0
367.0,22.0,female,2,rent,little,little,3650.0,18,0.0
368.0,42.0,male,2,own,little,little,3446.0,36,0.0
369.0,40.0,female,2,rent,little,moderate,3001.0,18,0.0
370.0,36.0,male,2,own,Missing,Missing,3079.0,36,0.0
371.0,33.0,male,2,own,little,Missing,6070.0,18,0.0
372.0,23.0,female,2,rent,little,Missing,2146.0,10,0.0
373.0,63.0,male,3,free,Missing,Missing,13756.0,60,0.0
374.0,60.0,female,3,free,moderate,moderate,14782.0,60,0.0
375.0,37.0,female,2,rent,little,little,7685.0,48,0.0
376.0,34.0,male,2,own,little,Missing,2320.0,18,0.0
377.0,36.0,male,2,free,Missing,Missing,846.0,7,0.0
378.0,57.0,male,3,free,little,moderate,14318.0,36,0.0
379.0,52.0,female,1,own,moderate,Missing,362.0,6,0.0
380.0,39.0,male,2,own,Missing,little,2212.0,20,0.0
381.0,38.0,female,3,free,little,moderate,12976.0,18,0.0
382.0,25.0,female,2,rent,Missing,Missing,1283.0,22,0.0
383.0,26.0,male,2,own,little,rich,1330.0,12,0.0
384.0,26.0,male,1,own,moderate,Missing,4272.0,30,0.0
385.0,25.0,female,2,own,little,Missing,2238.0,18,0.0
386.0,21.0,female,2,rent,Missing,Missing,1126.0,18,0.0
387.0,40.0,male,3,own,little,moderate,7374.0,18,0.0
388.0,27.0,male,2,own,quite rich,moderate,2326.0,15,0.0
389.0,27.0,female,2,own,little,Missing,1449.0,9,0.0
390.0,30.0,male,3,own,little,Missing,1820.0,18,0.0
391.0,19.0,female,1,rent,rich,moderate,983.0,12,0.0
392.0,39.0,male,3,free,little,little,3249.0,36,0.0
393.0,31.0,female,2,own,little,little,1957.0,6,0.0
394.0,31.0,male,3,own,little,Missing,2406.0,9,0.0
395.0,32.0,male,2,rent,moderate,moderate,11760.0,39,0.0
396.0,55.0,female,3,free,little,little,2578.0,12,0.0
397.0,46.0,male,2,own,little,little,2348.0,36,0.0
398.0,46.0,male,2,rent,little,moderate,1223.0,12,0.0
399.0,43.0,female,1,own,rich,Missing,1516.0,24,0.0
400.0,39.0,male,2,own,little,Missing,1473.0,18,0.0
401.0,28.0,male,2,own,Missing,moderate,1887.0,18,0.0
402.0,27.0,male,2,own,little,Missing,8648.0,24,0.0
403.0,27.0,male,1,own,little,Missing,802.0,14,0.0
404.0,43.0,male,2,own,Missing,moderate,2899.0,18,0.0
405.0,22.0,male,2,own,little,moderate,2039.0,24,0.0
406.0,43.0,male,2,own,Missing,Missing,2197.0,24,0.0
407.0,27.0,male,2,own,little,little,1053.0,15,0.0
408.0,26.0,male,3,own,quite rich,Missing,3235.0,24,0.0
409.0,28.0,male,2,own,quite rich,rich,939.0,12,0.0
410.0,20.0,female,2,own,little,moderate,1967.0,24,0.0
411.0,35.0,male,3,own,little,Missing,7253.0,33,0.0
412.0,42.0,male,3,own,little,Missing,2292.0,12,0.0
413.0,40.0,male,1,rent,quite rich,Missing,1597.0,10,0.0
414.0,35.0,female,2,own,Missing,little,1381.0,24,0.0
415.0,35.0,male,2,own,little,Missing,5842.0,36,0.0
416.0,33.0,male,1,own,little,little,2579.0,12,0.0
417.0,23.0,female,2,rent,Missing,little,8471.0,18,0.0
418.0,31.0,female,3,own,quite rich,Missing,2782.0,21,0.0
419.0,33.0,female,2,own,Missing,moderate,1042.0,18,0.0
420.0,20.0,female,2,rent,rich,Missing,3186.0,15,0.0
421.0,30.0,male,2,own,Missing,moderate,2028.0,12,0.0
422.0,47.0,male,1,own,little,moderate,958.0,12,0.0
423.0,34.0,male,3,own,moderate,Missing,1591.0,21,0.0
424.0,25.0,female,2,own,Missing,moderate,2762.0,12,0.0
425.0,21.0,male,2,rent,little,moderate,2779.0,18,0.0
426.0,29.0,male,2,own,little,Missing,2743.0,28,0.0
427.0,46.0,male,2,own,rich,Missing,1149.0,18,0.0
428.0,20.0,male,2,own,little,Missing,1313.0,9,0.0
429.0,55.0,female,0,free,little,little,1190.0,18,0.0
430.0,74.0,male,1,own,little,Missing,3448.0,5,0.0
431.0,29.0,male,3,own,little,moderate,11328.0,24,0.0
432.0,36.0,male,3,free,little,little,1872.0,6,0.0
433.0,33.0,male,2,own,little,Missing,2058.0,24,0.0
434.0,25.0,male,2,own,little,little,2136.0,9,0.0
435.0,25.0,male,2,own,Missing,moderate,1484.0,12,0.0
436.0,23.0,male,1,rent,quite rich,Missing,660.0,6,0.0
437.0,37.0,female,2,own,rich,Missing,1287.0,24,0.0
438.0,65.0,male,0,own,little,little,3394.0,42,0.0
439.0,26.0,female,0,own,little,rich,609.0,12,0.0
440.0,39.0,male,3,own,little,Missing,1884.0,12,0.0
441.0,30.0,female,2,own,little,little,1620.0,12,0.0
442.0,29.0,male,2,own,little,moderate,2629.0,20,0.0
443.0,41.0,male,1,own,little,Missing,719.0,12,0.0
